ts	candidate	params	ledger	why
2026-09-26T08:37:08Z	strat_floorhighfresh	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	.cache/strategy_lab/results_real.tsv	promote_gate
2026-09-26T08:50:23Z	strat_l23b_ddquality	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "dq_lb": 4, "dq_w": -0.15, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18}	.cache/strategy_lab/results_real.tsv	promote_gate
2026-09-26T08:51:45Z	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18}	.cache/strategy_lab/results_real.tsv	promote_gate
2026-09-26T08:55:32Z	strat_l23o_liqdq	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "dq_lb": 4, "dq_w": -0.15, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18}	.cache/strategy_lab/results_real.tsv	promote_gate
2026-09-26T08:59:20Z	strat_l23o_liqramp	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "max_dist": 0.055, "regime_ma": 18, "rp_hi": 0.7, "rp_lo": 0.5, "rp_on": 1}	.cache/strategy_lab/results_real.tsv	promote_gate
2026-09-26T09:24:56Z	strat_floorhighfresh	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "max_dist": 0.055, "regime_ma": 18, "top": 15, "weighting": "invvol"}	.cache/strategy_lab/results_real.tsv	promote_gate
2026-09-26T09:26:30Z	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 15, "weighting": "invvol"}	.cache/strategy_lab/results_real.tsv	promote_gate
2026-09-26T10:11:52Z	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	.cache/strategy_lab/results_real.tsv	promote_gate
2026-09-26T10:24:28Z	strat_floorhighfresh	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.58, "floor_lb": 24, "lookback": 16, "max_dist": 0.055, "regime_ma": 24}	.cache/strategy_lab/results_real.tsv	promote_gate
2026-09-26T10:27:45Z	strat_l23a_liqconfirm	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 22, "weighting": "invvol"}	.cache/strategy_lab/results_real.tsv	promote_gate
2026-09-26T11:17:15Z	strat_l26b_breakmag	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "bm_lb": 9, "bm_w": 0.2, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "top": 25, "weighting": "invvol"}	.cache/strategy_lab/results_real.tsv	promote_gate
2026-09-26T17:29:42Z	strat_l27b_spread	{"b_hi": 0.65, "b_lo": 0.45, "b_mid": 0.55, "floor_lb": 19, "lookback": 16, "lq_days": 40, "lq_min": 5000000.0, "lq_mode": "strict", "lq_shift": 0.05, "lq_shift_hi": 0.05, "lq_shift_lo": 0.075, "max_dist": 0.055, "regime_ma": 18, "sp_frac": 0.5, "sp_lb": 9, "sp_w": 0.2, "top": 25, "weighting": "invvol"}	.cache/strategy_lab/results_real.tsv	promote_gate
